workload	sample	leg	first_visible_ms	complete_ms	builder_us	scan_us	peak_hwm_kb	games	logical_fingerprint	status
bounded	1	fresh	9793	92235	84272454	13396114	89524	17860	c4b2446c6c6226561bae0c930dea65b4273e8e491a5e82d6b2d3eff664fb1cc7	passed
bounded	1	changed-rebuild	2295	30248	22913885	8574395	85532	17861	838d48f2d5ddea5e0cd7d08a94ca898de506d90d93557fea8930e0ea3567d09a	passed
bounded	2	fresh	9198	91260	82879407	13343158	89896	17860	c4b2446c6c6226561bae0c930dea65b4273e8e491a5e82d6b2d3eff664fb1cc7	passed
bounded	2	changed-rebuild	2148	29632	23417487	8779391	83536	17861	838d48f2d5ddea5e0cd7d08a94ca898de506d90d93557fea8930e0ea3567d09a	passed
bounded	3	fresh	9227	90050	81720773	13518595	89296	17860	c4b2446c6c6226561bae0c930dea65b4273e8e491a5e82d6b2d3eff664fb1cc7	passed
bounded	3	changed-rebuild	2574	30398	23050649	8783144	85636	17861	838d48f2d5ddea5e0cd7d08a94ca898de506d90d93557fea8930e0ea3567d09a	passed
whole-card	1	first-observed-clean	8095	219913	140343266	64996648	133768	39791	57c8be72c0fa0277eb654221f919428d3f2f2be4e64ea00d78ae500081665cc5	passed
whole-card	1	warm-clean	14464	165110	123018761	50099739	144328	39791	57c8be72c0fa0277eb654221f919428d3f2f2be4e64ea00d78ae500081665cc5	passed
whole-card	1	forced-rebuild	2316	66071	47694298	46920558	61848	39791	57c8be72c0fa0277eb654221f919428d3f2f2be4e64ea00d78ae500081665cc5	passed
