family	run	capture_id	duration_s	cpu0_task_busy_pct	cpu1_task_busy_pct	dual_core_overlap_pct	usb_irq_rate_hz	usb_handler_wall_pct	main_runnable_p99_us	main_switches_per_s	frame_max_us	dropped_frames	process_read_mib	process_write_mib	block_request_issues	walk_s	scan_s	import_s	projection_s	artifact_copy_hash_s	trace_sha256
scheduler	1	1787120541	7.301334	18.2918	45.4484	9.4945	7998.4	7.935	59	1875.0	16572	0									17942f2d2687dad31bfc6ec84b9e545d6cdf4d6460990731ff136c562d09b146
scheduler	2	1787120590	7.383400	18.0646	45.4461	9.9454	7998.8	7.904	56	1866.2	16570	0									0388e69f1a038f07d7c76389b34f189b1708358cf055e3af97895b126fa81b09
scheduler	3	1787120676	7.053249	17.5388	47.8315	9.8879	7998.4	7.964	62	1940.4	16592	0									2fee49bca4d0b780340343368d04583193a499bf215916710c302e1c053c75bb
storage	1	1787120840	233.290										199.475	174.832	76397	93.501	127.799	77.981	58.691	8.294	53de70a2356bfb1801c1d792e8ec51569e5ddb499d873112d289b10dd7e4738f
storage	2	1787121193	174.630										160.909	174.820	21404	39.588	70.397	77.304	58.606	8.416	b027ff2f216013d418271ee8d929f64cf7c557b647d840dc73bdb29ecec16640
storage	3	1787121486	172.630										158.775	174.742	22085	38.272	68.978	77.107	58.347	8.182	968bd18818793084fcff41cccd38ed3ce0280a195aba20ff6b965208ee45d42a
