label	effect	frames	fps	avg_wall_us	p95_wall_us	p99_wall_us	slow_gt_16_7ms	slow_gt_20ms	avg_cpu_pct	p95_cpu_pct	max_trace_cpu_pct	max_sample_cpu_pct	avg_cpu_us	p95_cpu_us	avg_draw_us	p95_draw_us	avg_present_us	p95_present_us	avg_vsync_us	p95_vsync_us	avg_clear_us	p95_clear_us	avg_background_us	p95_background_us	avg_projection_us	p95_projection_us	avg_image_blit_us	p95_image_blit_us	avg_sprite_us	p95_sprite_us	avg_post_us	p95_post_us	avg_hud_us	p95_hud_us	avg_palette_step_count	p95_palette_step_count	max_palette_step_count	avg_lut_lookup_count	p95_lut_lookup_count	max_lut_lookup_count	avg_row_op_count	p95_row_op_count	max_row_op_count	avg_dither_pixel_count	p95_dither_pixel_count	max_dither_pixel_count	avg_flash_pixel_count	p95_flash_pixel_count	max_flash_pixel_count	avg_trail_pixel_count	p95_trail_pixel_count	max_trail_pixel_count	avg_indexed_pixel_count	p95_indexed_pixel_count	max_indexed_pixel_count	avg_reflection_row_count	p95_reflection_row_count	max_reflection_row_count	rss_hwm_kb	visual_ok	date	notes
RASTER-FX-SMOKE	scanline-brightness-pulse	60	61.1	16373	16486	16605	1	0	22	23	33	103	3786	3829	1996	2046	1601	1624	16642	16659	548	587	750	775	0	0	0	0	0	0	697	718	0	0	6	6	6	0	0	0	1080	1080	1080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12364	not-run	2026-06-13T08:14:05Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=1
RASTER-FX-SMOKE	palette-split-warning-tint	60	61.1	16365	16426	16533	0	0	24	25	35	103	4078	4208	2279	2332	1604	1631	16642	16659	547	583	870	873	0	0	0	0	0	0	861	953	0	0	542	542	542	0	0	0	1080	1080	1080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12364	not-run	2026-06-13T08:14:05Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=1
RASTER-FX-SMOKE	water-reflection-flipped-wavy-rows	60	61.1	16359	16423	16586	0	0	73	75	92	103	12150	12317	10526	10710	1477	1494	16645	16653	555	703	1468	1492	8501	8602	0	0	0	0	0	0	0	0	540	540	540	0	0	0	632	632	632	0	0	0	0	0	0	0	0	0	0	0	0	270	270	270	12364	not-run	2026-06-13T08:14:05Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=1
RASTER-RAW565-BEFORE	palette-cycling-lava-water-neon	181	61.1	16355	16429	16946	4	0	63	65	88	96	10460	10750	9043	9290	1286	1323	16610	16651	530	569	8293	8547	0	0	0	0	219	235	0	0	0	0	32	32	32	518400	518400	518400	15	15	15	0	0	0	0	0	0	0	0	0	518400	518400	518400	0	0	0	11668	not-run	2026-06-15T07:53:15Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=3
RASTER-RAW565-BEFORE	palette-gradient-sky	180	61.1	16369	16482	16831	5	0	18	19	27	96	3092	3219	1405	1459	1494	1555	16635	16659	544	607	861	886	0	0	0	0	0	0	0	0	0	0	540	540	540	0	0	0	540	540	540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11668	not-run	2026-06-15T07:53:15Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=3
RASTER-RAW565-BEFORE	per-scanline-color-bars	180	61.1	16362	16462	16709	4	0	18	18	25	96	3033	3091	1323	1357	1526	1572	16639	16657	551	596	772	808	0	0	0	0	0	0	0	0	0	0	6	6	6	0	0	0	540	540	540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11668	not-run	2026-06-15T07:53:15Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=3
RASTER-RAW565-BEFORE	rainbow-raster-bands	180	61.1	16372	16469	16590	0	0	17	18	25	96	2958	3049	1271	1301	1499	1563	16635	16652	545	597	726	763	0	0	0	0	0	0	0	0	0	0	32	32	32	0	0	0	540	540	540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11668	not-run	2026-06-15T07:53:15Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=3
RASTER-RAW565-BEFORE	copper-bar-horizontal-glow	180	61.1	16372	16486	16799	5	0	21	23	32	96	3639	3854	1948	1984	1497	1563	16636	16653	544	589	713	754	691	751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	540	540	540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11668	not-run	2026-06-15T07:53:15Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=3
RASTER-RAW565-BEFORE	screen-flash-action	180	61.1	16372	16503	16801	4	0	57	72	93	96	9542	11894	7956	10305	1413	1505	16639	16650	536	592	7234	9787	0	0	0	0	0	0	185	736	0	0	138	540	540	0	0	0	138	540	540	0	0	0	132480	518400	518400	0	0	0	0	0	0	0	0	0	11668	not-run	2026-06-15T07:53:15Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=3
RASTER-RAW565-BEFORE	fade-through-indexed-palettes	180	61.1	16358	16445	16854	4	0	63	64	76	96	10484	10728	8980	9077	1357	1382	16644	16652	521	556	8459	8562	0	0	0	0	0	0	0	0	0	0	96	96	96	518400	518400	518400	0	0	0	0	0	0	0	0	0	0	0	0	518400	518400	518400	0	0	0	11668	not-run	2026-06-15T07:53:15Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=3
RASTER-RAW565-BEFORE	day-night-palette-swap	180	61.1	16358	16438	16630	2	0	54	55	65	96	8945	9248	7411	7493	1372	1404	16639	16652	541	597	6328	6478	0	0	0	0	541	580	0	0	0	0	96	96	96	518400	518400	518400	24	24	24	0	0	0	0	0	0	0	0	0	518400	518400	518400	0	0	0	11668	not-run	2026-06-15T07:53:15Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=3
