type	label	system	variant	encoded_bytes	decoded_bytes	download_ms	decompress_ms	save_ms	verify_ms	total_ms	wire_mbps	decoded_mbps	etag	content_encoding	cf_cache_status	result
stage_tsv	label=ITEM10-AFTER-save-path-gated-01	suite_label=ITEM10-AFTER-save-path-gated	benchmark=media-bench-download	system=neogeo	stage=cleanup	ms=76	bytes=0	result=bench-ok	detail=removed=3
screenshot_download_bench_tsv	ITEM10-AFTER-save-path-gated-01	neogeo	identity	24283092	24283092	5897	0	2215	1285	9400	32.94	20.67	"9850b1a4046515e4f0f5130994cd4f49"	identity	HIT	bench-ok
metric_tsv	label=ITEM10-AFTER-save-path-gated-01	suite_label=ITEM10-AFTER-save-path-gated	system=neogeo	metric=screenshot_download_stage_publish_copy_ms	value=2100	unit=ms	valid=1
metric_tsv	label=ITEM10-AFTER-save-path-gated-01	suite_label=ITEM10-AFTER-save-path-gated	system=neogeo	metric=screenshot_download_stage_publish_sync_ms	value=0	unit=ms	valid=1
metric_tsv	label=ITEM10-AFTER-save-path-gated-01	suite_label=ITEM10-AFTER-save-path-gated	system=neogeo	metric=screenshot_download_stage_publish_rename_ms	value=0	unit=ms	valid=1
metric_tsv	label=ITEM10-AFTER-save-path-gated-01	suite_label=ITEM10-AFTER-save-path-gated	system=neogeo	metric=screenshot_download_stage_publish_parent_sync_ms	value=7	unit=ms	valid=1
metric_tsv	label=ITEM10-AFTER-save-path-gated-01	suite_label=ITEM10-AFTER-save-path-gated	system=neogeo	metric=screenshot_download_stage_state_ms	value=27	unit=ms	valid=1
metric_tsv	label=ITEM10-AFTER-save-path-gated-01	suite_label=ITEM10-AFTER-save-path-gated	system=neogeo	metric=screenshot_download_stage_cleanup_ms	value=76	unit=ms	valid=1
metric_tsv	label=ITEM10-AFTER-save-path-gated-01	suite_label=ITEM10-AFTER-save-path-gated	system=neogeo	metric=screenshot_download_save_ms	value=2215	unit=ms	valid=1
metric_tsv	label=ITEM10-AFTER-save-path-gated-01	suite_label=ITEM10-AFTER-save-path-gated	system=neogeo	metric=screenshot_download_total_ms	value=9400	unit=ms	valid=1
