label	case	iteration	path	db_bytes	query_hash	open_us	schema_check_us	prepare_us	first_row_us	row_read_us	format_us	total_us	rows	columns	stdout_bytes
DBQUERY-RELEASE-20260627	arcade_manufacturers	3	/media/fat/mister-magik/library.sqlite3	19615744	48a1ab968abd7fae	1258		2825	23750	25866	849	31877	190	2	3761
DBQUERY-RELEASE-20260627	arcade_manufacturers	4	/media/fat/mister-magik/library.sqlite3	19615744	48a1ab968abd7fae	1311		2777	23664	25810	831	31790	190	2	3761
DBQUERY-RELEASE-20260627	arcade_manufacturers	5	/media/fat/mister-magik/library.sqlite3	19615744	48a1ab968abd7fae	1322		2820	23707	25773	909	31821	190	2	3761
DBQUERY-RELEASE-20260627	arcade_categories	1	/media/fat/mister-magik/library.sqlite3	19615744	25722c932a5aeadd	1311		2932	22447	23390	418	28659	69	2	1133
DBQUERY-RELEASE-20260627	arcade_categories	2	/media/fat/mister-magik/library.sqlite3	19615744	25722c932a5aeadd	1263		3013	22373	23318	482	28684	69	2	1133
DBQUERY-RELEASE-20260627	arcade_categories	3	/media/fat/mister-magik/library.sqlite3	19615744	25722c932a5aeadd	1276		2844	22510	23410	386	28566	69	2	1133
DBQUERY-RELEASE-20260627	arcade_categories	4	/media/fat/mister-magik/library.sqlite3	19615744	25722c932a5aeadd	1242		2943	22555	23455	492	28747	69	2	1133
DBQUERY-RELEASE-20260627	arcade_categories	5	/media/fat/mister-magik/library.sqlite3	19615744	25722c932a5aeadd	1306		2977	22485	23435	361	28623	69	2	1133
DBQUERY-RELEASE-20260627	amiga_years	1	/media/fat/mister-magik/library.sqlite3	19615744	2f63caee18704b4f	1285		2833	20956	20951	91	25471	0	2	14
DBQUERY-RELEASE-20260627	amiga_years	2	/media/fat/mister-magik/library.sqlite3	19615744	2f63caee18704b4f	1271		2810	21299	21199	60	25809	0	2	14
DBQUERY-RELEASE-20260627	amiga_years	3	/media/fat/mister-magik/library.sqlite3	19615744	2f63caee18704b4f	1299		2992	20993	20988	70	25713	0	2	14
DBQUERY-RELEASE-20260627	amiga_years	4	/media/fat/mister-magik/library.sqlite3	19615744	2f63caee18704b4f	1302		2826	21218	21213	72	25798	0	2	14
DBQUERY-RELEASE-20260627	amiga_years	5	/media/fat/mister-magik/library.sqlite3	19615744	2f63caee18704b4f	1340		2871	21164	21159	71	25772	0	2	14
DBQUERY-RELEASE-20260627	amiga_manufacturers	1	/media/fat/mister-magik/library.sqlite3	19615744	4acc3fb5cad4a301	1304		2957	26923	26943	78	31617	1	2	37
DBQUERY-RELEASE-20260627	amiga_manufacturers	2	/media/fat/mister-magik/library.sqlite3	19615744	4acc3fb5cad4a301	1267		2909	27244	27265	87	31919	1	2	37
DBQUERY-RELEASE-20260627	amiga_manufacturers	3	/media/fat/mister-magik/library.sqlite3	19615744	4acc3fb5cad4a301	1248		2783	27126	27146	190	31751	1	2	37
DBQUERY-RELEASE-20260627	amiga_manufacturers	4	/media/fat/mister-magik/library.sqlite3	19615744	4acc3fb5cad4a301	1358		3032	39732	39753	105	44522	1	2	37
DBQUERY-RELEASE-20260627	amiga_manufacturers	5	/media/fat/mister-magik/library.sqlite3	19615744	4acc3fb5cad4a301	1368		2818	27247	27267	91	31908	1	2	37
