label	effect	frames	fps	avg_wall_us	p95_wall_us	p99_wall_us	slow_gt_16_7ms	slow_gt_20ms	avg_cpu_pct	p95_cpu_pct	max_trace_cpu_pct	max_sample_cpu_pct	avg_cpu_us	p95_cpu_us	avg_draw_us	p95_draw_us	avg_present_us	p95_present_us	avg_vsync_us	p95_vsync_us	avg_clear_us	p95_clear_us	avg_background_us	p95_background_us	avg_projection_us	p95_projection_us	avg_image_blit_us	p95_image_blit_us	avg_sprite_us	p95_sprite_us	avg_post_us	p95_post_us	avg_hud_us	p95_hud_us	avg_glyph_count	p95_glyph_count	max_glyph_count	avg_glyph_pixels	p95_glyph_pixels	max_glyph_pixels	avg_tile_count	p95_tile_count	max_tile_count	avg_vector_segment_count	p95_vector_segment_count	max_vector_segment_count	avg_bob_count	p95_bob_count	max_bob_count	avg_palette_step_count	p95_palette_step_count	max_palette_step_count	avg_hidden_glyph_count	p95_hidden_glyph_count	max_hidden_glyph_count	avg_scroll_offset	p95_scroll_offset	max_scroll_offset	rss_hwm_kb	visual_ok	date	notes
TEXT-FX-SMOKE	continue-countdown-panic	60	61.1	16368	16420	16651	1	0	20	20	28	103	3351	3371	1667	1687	1501	1521	16644	16654	593	629	927	915	0	0	0	0	145	151	0	0	0	0	10	10	10	4309	4363	4363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11612	not-run	2026-06-12T22:18:26Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=1
TEXT-FX-SMOKE	trackball-signature-initials	60	61.1	16370	16445	16661	1	0	30	31	42	103	5079	5228	3455	3554	1452	1514	16639	16649	585	623	2779	2876	0	0	0	0	90	100	0	0	0	0	3	3	3	441	441	441	0	0	0	0	0	0	42	42	42	0	0	0	0	0	0	0	0	0	11612	not-run	2026-06-12T22:18:26Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=1
TEXT-FX-SMOKE	grawlix-speech-bubble	60	61.1	16362	16410	16431	1	0	27	29	40	103	4602	4824	3171	3358	1283	1316	16643	16655	587	653	2524	2702	0	0	0	0	59	80	0	0	0	0	6	6	6	1392	1392	1392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11612	not-run	2026-06-12T22:18:26Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=1
TEXT-FX-SMOKE	rasterbar-title-backing	60	61.1	16375	16612	16705	2	0	20	23	29	103	3494	3932	1833	1861	1479	1563	16570	16658	586	633	1140	1206	0	0	0	0	105	154	0	0	0	0	11	11	11	2928	2928	2928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11612	not-run	2026-06-12T22:18:26Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=1
TEXT-FX-SMOKE	palette-cycled-text-fill	60	61.1	16375	16442	16590	0	0	17	19	23	103	3027	3115	1361	1410	1482	1535	16641	16652	579	616	704	725	0	0	0	0	78	102	0	0	0	0	10	10	10	5004	5004	5004	0	0	0	0	0	0	0	0	0	139	139	139	0	0	0	0	0	0	11612	not-run	2026-06-12T22:18:26Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=1
TEXT-FX-SMOKE	plasma-filled-logo-text	60	61.1	16371	16413	16576	1	0	31	32	38	103	5143	5289	3577	3665	1395	1452	16642	16651	591	623	2925	3010	0	0	0	0	60	85	0	0	0	0	6	6	6	3420	3420	3420	0	0	0	0	0	0	0	0	0	95	95	95	0	0	0	0	0	0	11612	not-run	2026-06-12T22:18:26Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=1
TEXT-FX-SMOKE	victory-quote-textbox	60	61.1	16376	16479	16533	1	0	18	19	25	103	3139	3228	1462	1505	1490	1542	16641	16654	585	642	711	744	0	0	0	0	165	217	0	0	0	0	22	22	22	3373	3373	3373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11612	not-run	2026-06-12T22:18:26Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=1
TEXT-FX-SMOKE	continue-screen-tip-ticker	60	61.1	16357	16433	16561	1	0	19	20	27	103	3329	3373	1655	1713	1498	1522	16643	16656	589	633	903	913	0	0	0	0	162	243	0	0	0	0	18	25	25	3932	5616	5808	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	236	448	472	11612	not-run	2026-06-12T22:18:26Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=1
TEXT-FX-SMOKE	finish-him-impact-prompt	60	61.1	16369	16469	16870	2	0	30	31	40	103	5034	5338	3494	3578	1423	1463	16642	16652	592	686	2787	2851	0	0	0	0	114	148	0	0	0	0	9	9	9	5148	5148	5148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11612	not-run	2026-06-12T22:18:26Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=1
TEXT-FX-SMOKE	neo-geo-boot-slogan-flash	60	61.1	16372	16409	16463	1	0	26	27	39	103	4442	4503	3017	3058	1271	1316	16642	16653	589	624	2349	2433	0	0	0	0	78	130	0	0	0	0	17	23	23	4408	5968	5968	0	0	0	0	0	0	0	0	0	0	0	0	6	12	12	0	0	0	11612	not-run	2026-06-12T22:18:26Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=1
TEXT-FX-SMOKE	extend-letter-bubbles	60	61.1	16367	16432	16558	0	0	20	21	29	103	3471	3540	1828	1875	1473	1510	16641	16653	592	636	1062	1129	0	0	0	0	173	213	0	0	0	0	6	6	6	855	855	855	0	0	0	0	0	0	6	6	6	0	0	0	0	0	0	0	0	0	11612	not-run	2026-06-12T22:18:26Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=1
TEXT-FX-SMOKE	phrase-spelling-bonus-meter	60	61.0	16380	16428	16479	1	0	17	18	21	103	2999	3040	1384	1420	1432	1459	16637	16648	562	595	780	795	0	0	0	0	41	46	0	0	0	0	5	5	5	1328	1328	1328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11612	not-run	2026-06-12T22:18:26Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=1
TEXT-FX-SMOKE	powerup-letter-icon-pop	60	61.1	16376	16424	16525	1	0	24	28	40	103	4180	4776	2756	3295	1269	1298	16639	16648	582	624	2131	2670	0	0	0	0	43	48	0	0	0	0	4	4	4	760	855	855	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11612	not-run	2026-06-12T22:18:26Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=1
TEXT-FX-SMOKE	intermission-caption-card	60	61.1	16376	16618	16693	2	0	28	34	44	103	4736	5718	3100	4065	1450	1523	16603	16647	587	643	2062	3036	0	0	0	0	451	504	0	0	0	0	16	16	16	2498	2498	2498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11612	not-run	2026-06-12T22:18:26Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=1
TEXT-FX-SMOKE	attract-instruction-pages	60	61.1	16375	16460	16736	2	0	19	19	28	103	3170	3232	1470	1483	1508	1554	16546	16654	601	642	759	781	0	0	0	0	110	111	0	0	0	0	32	32	32	4491	4491	4491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11612	not-run	2026-06-12T22:18:26Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=1
TEXT-FX-SMOKE	wave-announcement-banner	60	61.1	16377	16446	16644	1	0	19	20	25	103	3213	3323	1488	1552	1529	1608	16636	16661	603	642	742	781	0	0	0	0	141	211	0	0	0	0	5	5	5	1047	1232	1232	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	177	336	354	11612	not-run	2026-06-12T22:18:26Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=1
TEXT-FX-SMOKE	get-ready-voice-text-sync	60	61.1	16358	16412	16637	1	0	20	21	27	103	3420	3453	1689	1729	1545	1577	16642	16658	624	663	963	983	0	0	0	0	100	110	0	0	0	0	8	8	8	4618	6321	6321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11612	not-run	2026-06-12T22:18:26Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=1
TEXT-FX-SMOKE	dot-matrix-credit-roll	60	61.1	16354	16447	16638	0	0	23	24	32	103	3896	4004	2167	2197	1551	1580	16643	16655	623	657	1460	1511	0	0	0	0	82	158	0	0	0	0	39	39	39	1379	2408	2408	44	44	44	0	0	0	0	0	0	0	0	0	14	32	39	59	112	118	11612	not-run	2026-06-12T22:18:26Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=1
